町丁名,世帯数,男,女,date
四谷１丁目,227,191,264,2018-12-01
四谷２丁目,238,192,220,2018-12-01
四谷３丁目,262,183,217,2018-12-01
四谷４丁目,2075,1685,1551,2018-12-01
四谷本塩町,251,207,200,2018-12-01
四谷三栄町,1033,891,952,2018-12-01
四谷坂町,1345,1037,1055,2018-12-01
若葉１丁目,1335,1226,1193,2018-12-01
若葉２丁目,407,375,380,2018-12-01
若葉３丁目,568,438,449,2018-12-01
須賀町,796,681,662,2018-12-01
左門町,972,665,815,2018-12-01
信濃町,540,397,490,2018-12-01
南元町,1224,1081,1232,2018-12-01
荒木町,1566,1155,1172,2018-12-01
舟町,946,648,673,2018-12-01
愛住町,853,671,672,2018-12-01
大京町,2058,1580,1893,2018-12-01
霞ヶ丘町,1,1,0,2018-12-01
内藤町,676,621,546,2018-12-01
片町,212,154,153,2018-12-01
新宿１丁目,2712,1940,1735,2018-12-01
新宿２丁目,788,612,466,2018-12-01
新宿３丁目,99,88,49,2018-12-01
新宿４丁目,218,177,101,2018-12-01
新宿５丁目,1821,1297,990,2018-12-01
新宿６丁目,2687,1972,1732,2018-12-01
新宿７丁目,3581,2944,2691,2018-12-01
歌舞伎町１丁目,165,131,57,2018-12-01
歌舞伎町２丁目,1546,1232,544,2018-12-01
市谷田町１丁目,19,10,20,2018-12-01
市谷田町２丁目,339,242,346,2018-12-01
市谷田町３丁目,187,153,187,2018-12-01
市谷本村町,1726,1527,910,2018-12-01
市谷砂土原町１丁目,106,98,123,2018-12-01
市谷砂土原町２丁目,227,179,223,2018-12-01
市谷砂土原町３丁目,424,409,454,2018-12-01
市谷左内町,227,204,229,2018-12-01
市谷加賀町１丁目,21,13,22,2018-12-01
市谷加賀町２丁目,926,678,978,2018-12-01
市谷甲良町,385,350,386,2018-12-01
市谷船河原町,69,73,81,2018-12-01
市谷長延寺町,90,46,84,2018-12-01
市谷鷹匠町,20,22,24,2018-12-01
市谷山伏町,287,256,267,2018-12-01
市谷八幡町,63,55,66,2018-12-01
神楽坂１丁目,11,11,16,2018-12-01
神楽坂２丁目,129,85,119,2018-12-01
神楽坂３丁目,289,227,211,2018-12-01
神楽坂４丁目,89,76,89,2018-12-01
神楽坂５丁目,381,300,391,2018-12-01
神楽坂６丁目,550,377,462,2018-12-01
細工町,258,207,223,2018-12-01
二十騎町,361,302,340,2018-12-01
揚場町,54,49,57,2018-12-01
津久戸町,66,45,49,2018-12-01
東五軒町,1108,983,1123,2018-12-01
西五軒町,886,763,804,2018-12-01
赤城元町,222,174,209,2018-12-01
南榎町,672,658,671,2018-12-01
袋町,372,325,340,2018-12-01
払方町,473,455,506,2018-12-01
南町,375,375,405,2018-12-01
北町,492,462,513,2018-12-01
納戸町,527,449,524,2018-12-01
南山伏町,367,320,307,2018-12-01
北山伏町,333,215,253,2018-12-01
白銀町,720,594,734,2018-12-01
